 20250214-235454,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_010_c4871ee1 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_010_c4871ee1,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.906280 - logloss: 0.549144
 20250215-002904,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_011_32e292a5 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_011_32e292a5,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.910010 - logloss: 0.521576
 20250215-010801,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_012_473d5771 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_012_473d5771,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.918381 - logloss: 0.442389
 20250215-014827,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_013_e8194777 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_013_e8194777,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.882609 - logloss: 0.676213
 20250215-022812,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_014_823eef1b --gpu 0,[exp_id] DIN_MicroLens_1M_x1_014_823eef1b,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.910177 - logloss: 0.526992
 20250215-030000,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_015_b85482ed --gpu 0,[exp_id] DIN_MicroLens_1M_x1_015_b85482ed,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.891633 - logloss: 0.568836
 20250215-032305,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_016_fcfbb2f6 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_016_fcfbb2f6,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.896755 - logloss: 0.599763
 20250215-040408,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_017_286bf0a3 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_017_286bf0a3,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.914058 - logloss: 0.482065
 20250215-044044,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_018_82b2c84a --gpu 0,[exp_id] DIN_MicroLens_1M_x1_018_82b2c84a,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.901911 - logloss: 0.528609
 20250215-051354,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_019_2f7e38d8 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_019_2f7e38d8,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.897434 - logloss: 0.694582
 20250215-055334,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_020_f3686bb1 --gpu 0,[exp_id] DIN_MicroLens_1M_x1_020_f3686bb1,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.895469 - logloss: 0.697853
 20250215-062749,[command] python run_expid.py --config config/DIN_microlens_mmctr_tuner_config_01 --expid DIN_MicroLens_1M_x1_021_2525a91a --gpu 0,[exp_id] DIN_MicroLens_1M_x1_021_2525a91a,[dataset_id] MicroLens_1M_x1,[train] N.A.,[val] AUC: 0.916827 - logloss: 0.507466
